assigned_to,id,doi_link,manuscript_type,novel_biologging,biologging_context,external_data,device_cat,genus,species,habitat,more_species,biologging_availability,conserv*,note,authors,title,source,year,volume,issue,doi,pub_type,source_sheet,access?,reviewed
tjl,mercker2021,doi.org/10.1186/s40462-021-00260-y,M,FALSE,NA,N,NA,NA,NA,NA,N,NA,N,"Simulated habitat and tracking data, rather than using data from biologging","Mercker, M; Schwemmer, P; Peschko, V; Enners, L; Garthe, S",Analysis of local habitat selection and large-scale attraction/avoidance based on animal tracking data: is there a single best method?,MOVEMENT ECOLOGY,2021,9,1,10.1186/s40462-021-00260-y,J,tjl,NA,TRUE
tjl,skarin2008,doi.org/10.2981/0909-6396(2008)14[1:SHPOGR]2.0.CO;2,S,TRUE,W,N,L,Rangifer,tarandus,T,N,N,N,"The reindeer in this study were free-ranging, but semi-domesticated","Skarin, A; Danell, O; Bergstrom, R; Moen, J",Summer habitat preferences of GPS-collared reindeer Rangifer tarandus tarandus,WILDLIFE BIOLOGY,2008,14,1,10.2981/0909-6396(2008)14[1:SHPOGR]2.0.CO;2,J,tjl,NA,TRUE
tjl,mcgranahan2018,doi.org/10.1002/ece3.4094,S,TRUE,D,N,L,Ovis,aries,T,Y,N,Y,"This publication was arguably also a methods paper, since they conducted their study to test a datalogger they created","McGranahan, DA; Geaumont, B; Spiess, JW",Assessment of a livestock GPS collar based on an open-source datalogger informs best practices for logging intensity,ECOLOGY AND EVOLUTION,2018,8,11,10.1002/ece3.4094,J,tjl,NA,TRUE
tjl,naromaciel2018,doi.org/10.3354/esr00922,S,TRUE,W,N,L,Chelonia,mydas,M,N,N,Y,NA,"Naro-Maciel, E; Arengo, F; Galante, P; Vintinner, E; Holmes, KE; Balazs, G; Sterling, EJ","Marine protected areas and migratory species: residency of green turtles at Palmyra Atoll, Central Pacific",ENDANGERED SPECIES RESEARCH,2018,37,NA,10.3354/esr00922,J,tjl,NA,TRUE
tjl,feldt2016,doi.org/10.1186/s13570-016-0052-2,S,TRUE,D,N,L,Bos,indicus,T,Y,N,N,NA,"Feldt, T; Schlecht, E",Analysis of GPS trajectories to assess spatio-temporal differences in grazing patterns and land use preferences of domestic livestock in southwestern Madagascar,PASTORALISM-RESEARCH POLICY AND PRACTICE,2016,6,NA,10.1186/s13570-016-0052-2,J,tjl,NA,TRUE
tjl,bestley2015,doi.org/10.1890/14-0469.1,S,FALSE,W,Y,L,Mirounga,leonina,M,Y,N,N,NA,"Bestley, S; Jonsen, ID; Hindell, MA; Harcourt, RG; Gales, NJ",Taking animal tracking to new depths: synthesizing horizontal-vertical movement relationships for four marine predators,ECOLOGY,2015,96,2,10.1890/14-0469.1,J,tjl,NA,TRUE
tjl,suzuki2014,doi.org/10.1242/bio.20146130,S,TRUE,C,Y,I,Eumetopias,jubatus,M,N,N,N,NA,"Suzuki, I; Sato, K; Fahlman, A; Naito, Y; Miyazaki, N; Trites, AW","Drag, but not buoyancy, affects swim speed in captive Steller sea lions",BIOLOGY OPEN,2014,3,5,10.1242/bio.20146130,J,tjl,NA,TRUE
tjl,maurmann2021,doi.org/10.3390/ani11082370,S,TRUE,D,N,I,Capra,hircus,T,N,N,N,NA,"Maurmann, I; Greiner, BAE; von Korn, S; Bernau, M",Lying Behaviour in Dairy Goats: Effects of a New Automated Feeding System Assessed by Accelerometer Technology,ANIMALS,2021,11,8,10.3390/ani11082370,J,tjl,NA,TRUE
tjl,freitas2009,doi.org/10.3354/meps07725,S,TRUE,W,Y,L,Odobenus,rosmarus,MT,N,N,N,NA,"Freitas, C; Kovacs, KM; Ims, RA; Fedak, MA; Lydersen, C",Deep into the ice: over-wintering and habitat selection in male Atlantic walruses,MARINE ECOLOGY PROGRESS SERIES,2009,375,NA,10.3354/meps07725,J,tjl,NA,TRUE
tjl,shariatinajafabadi2015,doi.org/10.1016/j.ecolind.2015.06.005,S,FALSE,W,Y,L,Branta,leucopsis,MT,N,Y,Y,NA,"Shariati Najafabadi, M; Darvishzadeh, R; Skidmore, AK; Kolzsch, A; Vrieling, A; Nolet, BA; Exo, KM; Meratnia, N; Havinga, PJM; Stahl, J; Toxopeus, AG",Satellite- versus temperature-derived green wave indices for predicting the timing of spring migration of avian herbivores,ECOLOGICAL INDICATORS,2015,58,NA,10.1016/j.ecolind.2015.06.005,J,tjl,NA,TRUE
