id,genus,species
skarin2008,Rangifer,tarandus
mcgranahan2018,Ovis,aries
naromaciel2018,Chelonia,mydas
feldt2016,Bos,indicus
suzuki2014,Eumetopias,jubatus
maurmann2021,Capra,hircus
freitas2009,Odobenus,rosmarus
shariatinajafabadi2015,Branta,leucopsis
watt2015,Monodon,monoceros
tucker2014,Caretta,caretta
williams2022a,Ovis,aries
bryce2022,Canis,lupus
adams2012,Puffinus,griseus
pay2022,Aquila,audax
bourgoin2009,Ovis,gmelini musimon
nelson2008,Odocoileus,virginianus
comte2020,Sarcophilus,harrisii
thiebault2021,Morus,capensis
schorr2022,Orcinus,orca
bradsworth2017,Ninox,strenua
ishii2019,Procyon,lotor
webb2013a,Odocoileus,hemionus
cullen2022,Rostrhamus,sociabilis
vanderhoop2014,Tursiops,truncatus
robinson2008,Arctocephalus,pusillus doriferus
fujisaki2020,Lepidochelys,kempii
ware2016,Eumetopias,jubatus
anderson2012,Bos,taurus
subedi2020,Gypaetus,barbatus
wilson2021,Panthera,leo
mason2017,Rangifer,tarandus
luu2013,Bos,taurus
liu2019b,Gadus,morhua
mosser2014,Rangifer,tarandus
elliott2013,Uria,lomvia
rutledge2015,Branta,canadensis
nordstrom2013b,Callorhinus,ursinus
borowik2021,Alces,alces
zhang2017,Ailuropoda,melanoleuca
peters2022,Gyps,africanus
studd2019,Tamiasciurus,hudsonicus
hart2018b,Lepidochelys,kempii
mcclintock2012,Halichoerus,grypus
epstein2009,Pteropus,vampyrus
white2017,Carcharhinus,amblyrhynchos
westdal2013,Monodon,monoceros
wilson2019,Meles,meles
aoki2013,Globicephala,melas
shipley2018,Carcharhinus,perezi
mate2017,Physeter,macrocephalus
recio2013a,Erinaceus,europaeus
byrne2014a,Meleagris,gallapavo
fonseca2023,Ovis,aries
pinaud2008,Thalassarche,melanophris
owen2016,Megaptera,novaeangliae
demelo2007,Chrysocyon,brachyurus
abe2023,Anguilla,japonica
nasbylucas2019,Isurus,oxyrinchus
bailey2007,Bos,taurus
dorr2012,Phalacrocorax,auritus
mcintyre2011a,Mirounga,leonina
skuban2017,Ursus,arctos
augusteyn2018,Macroderma,gigas
sur2020,Aquila,chrysaetos
thomson2011,Chelonia,mydas
jensen2022,Felis,catus
solovyeva2021a,Phoca,largha
campbell2010a,Crocodylus,porosus
riekkola2019,Megaptera,novaeangliae
thorburn2019,Galeorhinus,galeus
nowakowski2020,Gopherus,agassizii
steingass2019,Phoca,vitulina richardii
fitzpatrick2011,Triaenodon,obesus
jeanniarddudot2017a,Callorhinus,ursinus
zhang2015,Ailuropoda,melanoleuca
krogh2019,Sus,scrofa
davis2008,Crotalus,atrox
kuhn2014a,Zalophus,californianus
howey2016,Carcharhinus,longimanus
schofield2007,Caretta,caretta
dickinson2021a,Capra,ibex
fortune2020,Balaena,mysticetus
bevanda2015,Cervus,elaphus
slavik2014,Silurus,glanis
banks2014,Mirounga,leonina
toplicanec2022,Lynx,lynx
shamounbaranes2012,Haematopus,ostralegus
spiegel2015b,Gyps,fulvus
vaudo2022,Nematistius,pectoralis
amos2023,Axis,axis
hanscom2023,Crotalus,horridus
kuhn2022,Callorhinus,ursinus
kaczensky2014,Camela,ferus
richards2019,Puffinus,puffinus
barwick2018,Ovis,aries
mohammadi2019,Canis,lupus
geschke2009,Phocarctos,hookeri
hammerschlag2016,Galeocerdo,cuvier
rickbeil2020,Ursus,arctos
macleod2020,Felis,catus
eisaguirre2021,Aquila,chrysaetos
majchrzak2022,Lynx,canadensis
aebischer2010,Bubo,bubo
galea2021,Felis,catus
geary2019,Pelecanus,occidentalis
mcbride2007,Panthera,onca
kirkpatrick2021,Sturnus,vulgaris
strandberg2009c,Falco,subbuteo
todd2022,Pteropus,natalis
casoli2022,Tursiops,truncatus
rice2009,Oreamnos,americanus
goldbogen2019,Balaenoptera,musculus
ferrarini2021a,Falco,naumanni
hamilton2021a,Eretmochelys,imbricata
fieberg2012,Ursus,americanus
rosenbaum2023,Panthera,uncia
vansteelant2015,Pernis,apivorus
blanco2017,Macronectes,giganteus
santos2019a,Lepidochelys,olivacea
caroncarrier2022,Lepus,arcticus
criffield2018,Puma,concolor
wyza2020,Cryptoprocta,ferox
denny2018,Ursus,arctos
oleksy2019,Pteropus,niger
putman2015,Chelonia,mydas
christensen2023,Papio,ursinus
kleinschmidt2022,Gavia,stellata
yockney2015,Trichosurus,vulpecula
romanzini2022,Bos,taurus
sergio2017,Milvus,migrans
marshal2021,Tragelaphus,angasii
navarro2009a,Calonectris,diomedea
schlichting2022,Sus,scrofa
arimoto2011,Ursus,thibetanus
sampson2012,Lagenorhynchus,acutus
torres2017,Thalassarche,chrysostoma
sergio2014,Milvus,migrans
dougherty2017,Equus,quagga
abrahms2016,Lycaon,pictus
cozzi2013,Panthera,leo
yu2022a,Anas,superciliosa
leblond2016a,Rangifer,tarandus
wilmers2017,Panthera,pardus
johnson2023,Bos,grunniens
xu2021a,Larus,saundersi
jung2019,Bison,bison
hays2021a,Eretmochelys,imbricata
schick2019,Ziphius,cavirostris
jessop2018,Varanus,komodoensis
sims2012,Carcharodon,carcharias
tablado2016,Capreolus,capreolus
hinke2021,Pygoscelis,antarcticus
sprinkle2021,Bos,taurus
pullin2020,Gallus,gallus
lehnen2021,Leopardus,pardalis
sveegaard2012,Phocoena,phocoena
marchand2015b,Ovis,gmelini
williams2012a,Ovis,aries
vali2018,Clanga,clanga
dodge2015,Dermochelys,coriacea
wall2013,Loxodonta,africana
williams2021b,Ovis,aries
palumbo2019,Anas,platyrhynchos
johnson2015a,Rangifer,tarandus
morenoarias2020a,Crocodylus,intermedius
merkel2023,Ursus,maritimus
morrison2021,Ovis,canadensis canadensis
rolland2019,Rynchops,niger
zhao2020,Anas,zonorhyncha
sullivan2022,Meleagris,gallopavo silvestris
heggoy2015,Rissa,tridactyla
gow2016,Colaptes,auratus
baida2022,Ovis,aries
owen2019,Globicephala,macrorhynchus
yorzinski2015,Pavo,cristatus
lea2010,Callorhinus,ursinus
troup2020,Loxodonta,africana
murphy2017b,Phoca,vitulina
ceriani2015,Caretta,caretta
henderson2014,Paralichthys,dentatus
thorsen2022,Ursus,arctos
garciajimenez2018,Gypaetus,barbatus
martin2013b,Ursus,arctos
martin2016,Connochaetes taurinus,taurinus
andrzejaczek2019a,Galeocerdo,cuvier
mellone2012,Pandion,haliaetus
breed2018,Erignathus,barbatus
yan2020,Budorcas,taxicolor
paton2017,Cervus,elaphus
kumpulainen2021,Canis,lupus familiarus
walcott2013,Eretmochelys,imbricata
nuijten2020a,Cygnus,columbianus bewickii
takagi2021,NA,NA
kaczensky2011,Equus,hemionus
horton2014,Pandion,haliaetus
wahlberg2014,Anguilla,anguilla
ji2021,Bos,taurus
hampton2022,Canis,lupus familiaris
ruthrauff2019,Limosa,fedoa beringiae
grainger2022,Carcharodon,carcharias
balmer2019,Tursiops,truncatus
gustine2008,Rangifer,tarandus caribou
leonard2020,Leopardus,pardalis
boult2019,Loxodonta,africana
boehme2008,Mirounga,leonina
conrath2008,Carcharhinus,plumbeus
shepard2009,Phalacrocorax,atriceps
trigueroocana2019a,Sus,scrofa
borowik2020a,Alces,alces
jeglinski2012,Zalophus,wollebaeki
pond2016,Rangifer,tarandus caribou
hoffmayer2014,Carcharhinus,obscurus
elliott2009a,Uria,lomvia
kushata2018,Crocuta,crocuta
sivle2016,Megaptera,novaeangliae
wilson2020a,Elephas,maximus sumatranus
leo2016,Felis,catus
condit2022,Mirounga,angustirostris
borowik2020b,Alces,alces
arrowsmith2021,Rhincodon,typus
kennah2023,Lepus,americanus
body2015b,Rangifer,tarandus
cook2008b,Phalacrocorax,verrucosus
delcurtowyffels2021,Bos,taurus
thums2011,Mirounga,leonina
sala2015,Spheniscus,magellanicus
studd2022,Lepus,americanus
isbell2016,Chlorocebus,pygerythrus
mcmahon2021a,Alces,alces
latham2011,Canis,lupus
guzman2015,Megaptera,novaeangliae
wu2018,Anser cygnoides,cygnoides
bom2014,Dromas,ardeola
simmons2009,Mirounga,angustirostr
block2011,Thunnus,orientalis
mosomtai2018,Bos,taurus
authier2013,Calonectris x,diomedea
wara2015,NA,NA
kruger2019,Calonectris,borealis
wiley2023,Balaenoptera,musculus
robb2022,Antilocapra,americana
morato2016,Panthera,onca
wang2022,Elaphurus,davidianus
courbin2014,Rangifer,tarandus caribou
stewart2019,Pekania,pennanti
yamazaki2020,Felis,catus
moss2016,Puma,concolor
ausband2016,Canis,lupus
brierslouw2019,Panthera,pardus
baker2020,Gallus,gallus
papastamatiou2021,NA,NA
lea2015,Galeocerdo,cuvier
skinner2022,Antrostomus,vociferus
forrester2015,Odocoileus,hemionus columbianus
cozzi2015,Crocuta,crocuta
duckworth2021,Gavia,stellata
ordiz2013,Ursus,arctos
austin2019,Fregata,magnificens
ganswindt2010,Loxodonta,africana
ferguson2010,Balaena,mysticetus
owensmith2013b,Hippotragus,niger
gaube2017,Caretta,caretta
harris2020a,Rissa,tridactyla
moe2007,Ursus,arctos
blix2007,Ommatophoca,rossii
backman2017b,Lanius,collurio
gillies2020,Puffinus,puffinus
pollock2019,Ursus,arctos
dujon2017,Caretta,caretta
simon2012,Megaptera,novaeangliae
everatt2023,Panthera,leo
campioni2020,Calonectris,borealis
steinshamn2018,Ovis,aries
theoret2022,Rangifer,tarandus
sherley2017,Spheniscus,demersus
cade2021a,Megaptera,novaeangliae
abouelezz2018,Lynx,rufus
vanbeest2016a,Cervus,canadensis
rodenreynolds2022b,Odocoileus,virginianus
hazen2016,Thunnus,thynnus
gabaldon2022,Tursiops,truncatus
gulsby2011,Odocoileus,virginianus
burtonroberts2022,Loxodonta,africana
ganskopp2009,Bos,taurus
naidoo2020,Loxodonta,africana
crabb2022,Ursus,americanus
meyer2010,Galeocerdo,cuvier
halsey2009b,Gallus,gallus
mcneill2016,Canis,lupus
berga2015,Phocoena,phocoena
loveridge2009,Panthera,leo
moseby2009,Vulpes,vulpes
moraes2021,Chrysocyon,brachyurus
fancourt2021,Felis,catus
haring2023,Lycaon,pictus
rehberg2018,NA,NA
depassille2016,Bos,taurus
citta2016,Delphinapterus,leucas
murauskas2021,NA,NA
mcclintock2015,Erignathus,barbatus
vogt2018,Lynx,lynx
kennedy2014b,Megaptera,novaeangliae
zanni2023,Canis,Lupus
cardona2012,NA,NA
vanderwal2015,Milvus,Milvus
nielsen2009,Isurus,oxyrinchus
mayer2021b,Athene,noctua
maglietta2022,Caretta,Caretta
williamson2021,Carcharhinus,amblyrhynchos
sharp2016,Delphinus,delphis
mellish2007,Eumetopias,jubatus
forrest2022,Nestor,meridionalis
stark2017,Nasalis,larvatus
gottardi2010,Capreolus,capreolus
trierweiler2007,Circus,pygargus
cade2023,Balaenoptera,bonaerensis
bouyoucos2017b,Negaprion,brevirostris
waller2023,Isurus,oxyrinchus
tackaberry2020,Megaptera,novaeangliae
jang2018,Chelonia,mydas
lanszki2018,Canis,aureus
freitas2022,Makaira,nigricans
senko2019,Chelonia,mydas
blanco2013,Chelonia,mydas
byrne2019b,Isurus,oxyrinchus
brown2019,NA,NA
garciamarch2016,Pinna,nobilis
fuller2019,Aptenodytes,patagonicus
giunchi2019,Anas,crecca
thomson2014,Chelonia,mydas
mcmahon2008,Mirounga,leonina
hall2021,Gymnogyps,californianus
thums2018a,Natador,depressus
forstner2022,Bucephala,islandica
heerah2019,Leptonychotes,weddellii
krishnan2022,Calidris,alpina
bond2017b,Dermochelys,coriacea
hjelmstedt2021,Coregonus,lavaretus
madiga2022,Reinhardtius,hippoglossoides
chimienti2017,Alca,torda
cadahia2010,Aquila,fasciata
coughlin2014,Felis,catus
fogarty2021,Ovis,aries
davis2012,Ovis,canadensis
kishida2022,Caretta,caretta
ortegaortiz2012,Physeter,macrocephalus
goto2017,Calonectris,leucomelas
aarts2008,NA,NA
bailey2012,NA,NA
call2007,Eumetopias,jubatus
wells2011,Oreamnos,americanus
carlson2014,Pristis,pectinata
suzuki2009,Cystophora,cristata
cluff2023,Canis,Lupus
nielson2009,Odocoileus,hemionus
ullmann2018,Lepus,europaeus
buderman2023,Sus,scrofa
laguna2021a,Sus,scrofa
reynolds2016,Calonectris,borealis
elliott2023,Sander,vitreus
efrat2022,Neophron,percnopterus
courbin2013,Canis,lupus
bonnetlebrun2020,Ardenna,grisea
vance2021a,Phocoena,phocoena
uesaka2022,NA,NA
doi2019,NA,NA
rehberg2018,Eumetopias,jubatus
turnley2022,Odocoileus,hemoinus
murauskas2021,Oncorhynchus,nerka
schreer2010,Phoca,vitulina
musante2010,Alces,alces
hunter2021,Bos,taurus
beltran2021,Mirounga,angustirostris
durand2023,Sus,scrofa domesticus
hansen2015,Canis,latrans
shoji2016,Alca,Torda
campbell2010b,Crocodylus,johnstoni
crawford2019,Pusa,hispida
freitas2021,Gadus,morhua
thiem2013,Sphoeroides,testudineus
mandel2008,Cathartes,aura
rotics2016,Ciconia,ciconia
amelineau2018,Alle,alle
vanderkolk2020b,Haematopus,ostralegus
izadi2022,Balaenoptera,edeni brydei
depascalis2022,Fregata,magnificens
nyakudya2012,Papio,hamadryas ursinus
rebstock2018,Pheniscus,magellanicus
cioffi2021,Ziphius,cavirostris
watanabe2013a,Alligator,mississippiensis
gammons2021,Ovis,canadensis sierrae
saitoh2021,Bos,longifrons
albert2021,Rissa,tridactyla
gruen2017,Felis,Catus
pelletier2020,Morus,bassanus
holser2023b,Mirounga,angustirostris
dunn2017,Mesoplodon,densirostris
ohanlon2022,Larus,argentatus
baldi2023,Caretta,caretta
li2014,Salmo,orhidanus
osborne2020,Rissa,tridactyla
grecian2016b,Calonectris,borealis
ekstrom2022,Micropterus,dolomieu
fischer2021b,Pelecanoides,whenuahouensis
rey2017,Orycteropus,afer
ram2023,Panthera,leo persica
abecia2022b,Ovis,aries
puehringersturmayr2020,Geronticus,eremita
milleret2021,Gulo,gulo
shiomi2019b,Pygoscelis,adeliae
wikelski2020,Bos,taurus
aven2015,Trichechus,manatus
hooven2022,Cervis,canadensis
blanchet2019,Ursus,arctos
mcmahon2017,Brachylagus,idahoensis
barthel2019,Erinaceus,europaeus
zeh2016,Dugong,dugon
vandevuurst2023,Mungos,mungo
cornelsen2022,Macrotis,lagotis
tucker2010,Caretta,caretta
sanchezgiraldo2019,Saguinus,leucopus
dick2013,Cervus,elaphus
mansfield2021,Chelonia,mydas
lesmerises2015,Ursus,americanus
kikuchi2014,Trichechus,inunguis
fischer2013,Coragyps,atratus
davis2013,Ovis,canadensis
tomkins2007,Bos,taurus indicus
sha2017,Macaca,fuscata
petroelje2020,Ursus,americanus
winship2012,NA,NA
guzman2017a,Megaptera,novaeangliae
gallo2022,Tursiops,truncatus
schreven2021,Anser,brachyrhynchus
doherty2017a,Cetorhinus,maximus
thaxter2016,Larus,fuscus
meynecke2021,Megaptera,novaeangliae
brown2014b,Pusa,hispida
jones2013,NA,NA
costa2010b,Zalophus,californianus
mills2016,Aechmophorus,occidentalis
hummell2022,Peromyscus,leucopus
pinto2016,Dipturus,intermedi
rosenberg2014,Polysticta,stelleri
kokubun2011,Pygoscelis,antarcticus
best2015,Eubalaena,australis
strandberg2012,Pernis,apivorus
blackie2010,Trichosurus,vulpecula
carter2023b,Vulpes,vulpes
kirol2020,Centrocercus,urophasianus
shiomi2016,Aptenodytes,patagonicus
hart2020c,Giraffa,giraffa
goossens2023,Mustelus asterias,NA
teo2009,Thunnus,orientalis
rasmussen2013,Lagenorhynchus,albirostris
garcia2021b,Lamna,ditropis
wang2015,Puma,concolor
hicks2018,Phalacrocorax,aristotelis
klaassen2011,NA,NA
hering2022,Antidorcas,marsupialis
pereira2021,NA,NA
panigada2017,Balaenoptera,physalus
adams2009,Puffinus,griseus
tatler2018,Canis,dingo
ryberg2019,Crotaphytus,reticulatus
ringgenberg2010,Sus,scrofa domesticus
heim2022,NA,NA
ferter2017,Hippoglossus,hippoglossus
andersen2014,Phoca,vitulina
leblond2017,Canis,lupus
maxwell2011,Lepidochelys,olivacea
feierabend2014,Lepus,americanus
asner2015,Hippotragus,niger
valente2020,Rangifer,tarandus tarandus
heit2023b,Puma,concolor
breed2009,Halichoerus,grypus
grottaneto2019,Mazama,gouazoubira
wells2017,Tursiops,truncatus
barnes2019,Argyrosomus,japonicus
patel2018,Caretta,caretta
fukuoka2016,Caretta,caretta
mccann2021,Papio,ursinua
stehfest2014,Notorynchus,cepedianus
linek2021,Turdus,merula
gaos2012,Eretmochelys,imbricata
baker2015,Halichoerus,grypus
heinanen2020,Gavia,stellata
chimienti2022,NA,NA
brijs2019a,Oncorhynchus,mykiss
chen2021,Junco,hyemalis
martins2020,Urogymnus,granulatus
jannetti2019,Ctenomys,aff. knighti
loring2017,NA,NA
gauld2023,Gyps,fulvus
brown2012b,Tamandua,mexicana
payne2018,NA,NA
nield2015,Dromaius,novaehollandiae
chimienti2021,Ovibos,moschatus
gales2012,Globicephala,melas
cox2018,Mirounga,leonina
mckeown2012,Pteropus,conspicillatus
sakai2011,Neophocaena,phocaenoides
tomiyasu2019,Clupea,pallasii
bailleul2010a,Mirounga,leonina
allan2013,Trichosurus,cunninghami
lottker2009,Cervus,elaphus
irvine2020,Physeter,macrocephalus
dahl2020,Canis,lupus familiaris
slone2013,NA,NA
henderson2020,Mirounga,leonina
rahimi2007,Hippotragus,niger
justicia2018,Castor,fiber
semenova2019,Odobenus,rosmarus rosmarus
kennedy2015,Nester,notabilis
prosser2009,Anser,indicus
rast2019,Erinaceus,europaeus
yoshida2017,Ictalurus,punctatus
lavers2019,Ardenna,carneipes
lopez2023,Larus,marinus
anderson2007,NA,NA
macintosh2013,Eudyptula,minor
gallagher2021b,Salvelinus,malma
yoshino2020,Mirounga,angustirostris
ceriani2012,Caretta,caretta
tanferna2012,Milvus,migrans
rogers2013,Carcharhinus,obscurus
michel2022,Calonectris,diomedea
finnegan2023,Ursus,actos
kochanny2009,Odocoileus,virginianus
trierweiler2013,Circus,pygargus
bentaleb2011,Balaenoptera,physalus
sara2019,Falco,naumanni
swimmer2014,Caretta,caretta
traill2010,Anseranas,semipalmata
varocruz2013,Caretta,caretta
gill2009,Limosa,lapponica baueri
groom2014,Calyptorhynchus,spp
balasso2021,Bos,taurus
lamare2009,Coscinasterias,muricata
casey2010,Dermochelys,coriacea
delvillarguerra2012,Halichoerus,grypus
krone2013,Haliaeetus,albicilla
arkwright2020,Caretta,caretta
bishop2019,Eumetopias,jubatus
pellerin2008,Capreolus,capreolus
guilford2008,Puffinus,puffinus
edren2010,Phocoena,phocoena
freeman2010,Procellaria parkinsoni,parkinsoni
tinker2007,Enhydra,lutris
seney2011,Lepidochelys,kempii
guzman2017b,Megaptera,novaeangliae
quinn2012,Odocoileus,virginianus
trigueroocana2020,Cervus,elaphus
rafiq2023,Lycaon,pictus
sveegaard2011b,Phocoena,phocoena
mcmahon2007,Lepidochelys olivacea,olivacea
gredzens2014,Dugong,dugon
makuya2023,Otomys,unisulcatus
garde2022,Columba,livia
shoji2015a,Alca,torda
mosqueraguerra2022,Inia,geoffrensis
nakamura2015b,Mola,mola
schwartz2009,Ursus,arctos
spaet2022,Carcharodon,carcharias
liley2015,Ursus,americanus
thiem2015,Acipenser,fulvescens
mcevoy2019,Chenonetta,jubata
deweerd2015,Bos,taurus
noda2014,Seriola,quinqueradiata
rauset2012,Ursus,arctos
recio2014,Felis,catus
myslajek2018,Canis,lupus
pulis2018,Feresa,attenuata
schaibraun2014b,Lepus,europaeus
teilmann2013,Phocoena,phocoena
gutowsky2014b,Phoebastria,nigripes
perottobaldivieso2012,Bos,taurus
nordoy2009,Hydrurga,leptonyx
citta2020,Delphinapterus,leucas
zhang2019c,Pelecanoides,urinatrix urinatrix
lyons2018,Hydroprogne,caspia
jeantet2020,Chelonia,mydas
gunner2020,Caretta,caretta
dewhirst2017,Panthera,leo
ironside2017c,Puma,concolor
plaza2022,Ovis,aries
watanabe2012,Aptenodytes,forsteri
barlow2020,Ziphius,cavirostris
ceriani2014,Caretta,caretta
csanyi2022,Cervus,elaphus
riekkola2018,Megaptera,novaeangliae
wilson2020b,NA,NA
beltramino2019,Acanthistius,patachonicus
vandemerwe2009,Chelonia,mydas
brightsmith2021,Ara,macao
zeh2018,Dugong,dugon
heerah2017b,Dicentrarchus,labrax
skewgar2014,Spheniscus,magellanicus
whitlock2022,Thunnus,thynnus
doherty2017b,Cetorhinus,maximus
dewhirst2016,Canis,lupis familiaris
demars2013,Rangifer,tarandus caribou
otoole2010,Sphyraena,barracuda
williams2020b,Vultur,gryphus
chakravarty2019a,NA,NA
henderson2022,Megaptera,novaeangliae
queiroz2016,Prionance,glauca
casazza2020,Anas,platyrhynchos
lewis2017,Mus,musculus
yu2023b,Ficedula,hypoleuca
carter2022,Halichoerus,grypus
moskat2019,Cuculus,canorus
nuijten2020c,Cygnus,columbianus bewickii
winsor2017,NA,NA
loarie2013,Panthera,leo
cowan2020,Macropus,fuliginosus
hylton2018,Acipenser,oxyrinchus oxyrinchus
cui2011,Anser,indicus
grans2009,Acipenser,medirostris
brivio2021,Capra,ibex
knochel2022,Mobula,alfredi
towerton2016,Vulpes,vulpes
sokolov2014,Falco,peregrinus
shimatani2012,Calonectris,leucomelas
bartzen2017,Clangula,hyemalis
robinson2017b,Dermochelys,coriacea
loher2022,Hippoglossus,stenolepis
shuert2021,Monodon,monoceros
shaver2016,Lepidochelys,kempii
lebras2016,Mirounga,leonina
patterson2019,Uria,lomvia
benaissa2019,Bos,taurus
barkley2019,Galeocerdo,cuvier
tonnesen2018,Physeter,macrocephalus
gilg2016,Rhodostethia,rosea
gurule2021,Ovis,aries
christiansen2017,Chelonia,mydas
pagano2017,Ursus,maritimus
omori2017,Rhinoptera,bonasus
mcclellan2009,Caretta,caretta
shoji2015b,Puffinus,puffinus
bastillerousseau2018c,Rangifer,tarandus
hokkanen2011,Bos,taurus
arcalisplanas2015,Ommatophoca,rossii
evans2013b,Uria,aalge
vonbank2021,Anser,albifrons frontalis
grottaneto2020,Mazama,gouazoubira
groom2017,Calyptorhynchus,latirostris
johnson2008c,NA,NA
graf2016,Castor,fiber
bridge2011,Phalacrocorax,verrucosus
camprasse2017,Phalacrocorax,verrucosus
campera2019,Avahi,meridionalis
shimada2021,Natator,depressus
allen2022,Tursiops,truncatus
crandall2019,Aquila,chrysaetos
tobin2021b,Bos,Taurus
humphrey2014,Coragyps,atratus
bergen2022,Haliaeetus,leucocephalus
warrenmyers2023,Salmo,salar
murray2021,Halichoerus,grypus
long2014,Odocoileus,virginianus
queiroz2017,NA,NA
blecha2015,Puma,concolor
kojola2018,Canis,lupus
segre2022,Balaenoptera,bonaerensis
dance2016,Sciaenops,ocellatus
morollon2022,Aquila,fasciata
johnson2010,Haematopus,bachmani
sutton2021b,Eudyptula,minor
read2007,Crocodylus,porosus
sutton2020,Spheniscus,demersus
gurule2022,Ovis,aries
phillips2019b,Uria,aalge
dunn2011,Pygocelis,adeliae
tanabe2023,Eretmochelys,imbricata
reich2017,NA,NA
schmutz2014b,Gavia,stellata
zengeya2015,Bos,Taurus
nagl2022,Lynx,lynx
visser2014,Globicephala,melas
adachi2022,Mirounga,angustirostris
bjorneraas2010,Ales,ales
conners2021,Phoebastria,nigripes
curk2021,Gyps,coprotheres
farhadinia2020b,Panthera,pardus saxicolor
liang2023,NA,NA
cameron2018b,Rangifer,tarandus granti
klimley2022,NA,NA
pavese2022,Tamandua,tetradactyla
rautiainen2022,Rangifer `,tarandus
carey2011,Puffinus,tenuirostris
ogloff2021,Pusa,hispida
nielsen2023c,Squalus,suckleyi
kinoshita2021,Caretta,caretta
garciaaguilar2021,Globicephala,macrorhynchus
jorgensen2010,Carcharodon,carcharias
russell2015,NA,NA
pierce2017,Charadrius,montanus
wells2020,Camelus,dromedarius
jewell2023,Galeocerdo,cuvier
knazovicky2015,Canis,familiaris
ward2019,Hypanus,americanus
lewis2007,Ursus,americanus
kroetz2021,Carcharhinus,obscurus
villers2010,Tetrax,tetrax
laidre2018,Ursus,maritimus
islam2020,Bos,taurus
vanderlaan2023,Canis,familiaris
